time_s,head_x_m,head_y_m,head_yaw_rad,state,q_joint_01_rad,q_joint_02_rad,q_joint_03_rad,q_joint_04_rad,q_joint_05_rad,q_joint_06_rad,q_joint_07_rad,q_joint_08_rad,q_joint_09_rad,dq_joint_01_rad_s,dq_joint_02_rad_s,dq_joint_03_rad_s,dq_joint_04_rad_s,dq_joint_05_rad_s,dq_joint_06_rad_s,dq_joint_07_rad_s,dq_joint_08_rad_s,dq_joint_09_rad_s,cmd_joint_01_rad,cmd_joint_02_rad,cmd_joint_03_rad,cmd_joint_04_rad,cmd_joint_05_rad,cmd_joint_06_rad,cmd_joint_07_rad,cmd_joint_08_rad,cmd_joint_09_rad,range_head_range_m60_m,range_head_range_m30_m,range_head_range_00_m,range_head_range_p30_m,range_head_range_p60_m
0.002000,0.000000,0.000000,0.000000,slither,-0.000191,0.000391,0.000168,0.000249,0.000658,-0.000672,-0.000338,-0.000386,-0.000715,-0.095728,0.195309,0.083893,0.124736,0.328896,-0.336214,-0.168984,-0.193054,-0.357342,0.000000,0.068000,0.068000,0.068000,0.068000,-0.068000,-0.068000,-0.068000,-0.068000,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.050000,-0.000481,-0.007898,-0.063545,slither,0.000801,0.039044,0.038703,0.050123,0.017052,-0.055609,-0.043615,-0.043716,-0.030968,0.788314,1.637561,1.617835,2.083701,-0.540881,-1.782409,-1.503193,-1.708060,-0.019625,0.096263,0.204000,0.204000,0.204000,-0.018881,-0.204000,-0.204000,-0.204000,-0.058878,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.100000,-0.008669,-0.029598,-0.294437,slither,0.071851,0.154826,0.155469,0.165331,-0.034207,-0.164429,-0.149715,-0.162038,0.003268,1.524066,2.361358,2.411227,1.568413,-1.265270,-1.876377,-1.991027,-2.096030,1.181666,0.189554,0.340000,0.340000,0.282649,-0.114796,-0.340000,-0.340000,-0.340000,0.037741,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.150000,-0.028019,-0.048778,-0.560565,slither,0.174054,0.314741,0.311427,0.187684,-0.102009,-0.284079,-0.282264,-0.197699,0.090505,1.921799,3.307932,2.353742,-0.352883,-1.353076,-2.386123,-2.593203,0.499399,2.107166,0.317665,0.538479,0.470333,0.149796,-0.251125,-0.517286,-0.505860,-0.222978,0.179559,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.200000,-0.043041,-0.048721,-0.702841,slither,0.276225,0.434367,0.371150,0.137199,-0.180236,-0.372979,-0.348521,-0.147927,0.189390,1.873945,1.483383,0.283628,-1.291733,-1.567487,-1.236978,-0.514373,1.145385,1.841481,0.391345,0.549767,0.413172,0.054860,-0.332891,-0.542006,-0.460268,-0.131540,0.267775,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.250000,-0.049112,-0.039341,-0.752634,slither,0.377269,0.495632,0.362907,0.061694,-0.259436,-0.419654,-0.339908,-0.068740,0.286558,1.957013,0.803613,-0.666370,-1.630105,-1.524823,-0.670185,0.603257,1.842316,2.061759,0.478601,0.534911,0.304176,-0.089787,-0.435568,-0.547614,-0.365798,0.012313,0.383817,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.300000,-0.049402,-0.025955,-0.739438,slither,0.460007,0.517926,0.317252,-0.023161,-0.332172,-0.442057,-0.295233,0.025894,0.375970,1.304103,0.160684,-1.229394,-1.566176,-1.191222,-0.370952,0.924445,1.918815,1.574193,0.518645,0.504261,0.219280,-0.183372,-0.487622,-0.530204,-0.288266,0.108362,0.446840,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.350000,-0.046563,-0.009093,-0.670675,slither,0.525042,0.508768,0.243440,-0.120666,-0.399997,-0.441084,-0.225013,0.127011,0.447963,1.077045,-0.458897,-1.655364,-1.955277,-1.301454,0.177266,1.701778,2.069707,1.268098,0.548437,0.429526,0.080121,-0.312279,-0.537102,-0.473705,-0.156107,0.245261,0.515017,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.400000,-0.041155,0.013218,-0.534190,slither,0.554285,0.462103,0.145260,-0.221488,-0.448672,-0.413150,-0.137329,0.226637,0.498937,0.237918,-1.254872,-2.130753,-1.952437,-0.698405,0.782753,1.777357,1.911291,0.678752,0.547223,0.362771,-0.016352,-0.386700,-0.549536,-0.417479,-0.061394,0.327637,0.540851,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.450000,-0.037658,0.037628,-0.354797,slither,0.556212,0.384057,0.031180,-0.317201,-0.476089,-0.362150,-0.039401,0.319407,0.524220,-0.296785,-1.894122,-2.507990,-1.890838,-0.372943,1.205126,2.035504,1.927331,0.314302,0.513881,0.242382,-0.159185,-0.475329,-0.536402,-0.309629,0.083298,0.431525,0.548186,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.500000,-0.037728,0.059991,-0.158455,slither,0.530397,0.287818,-0.085675,-0.396223,-0.479113,-0.290097,0.059453,0.398279,0.524636,-0.724918,-2.013454,-2.123320,-1.359388,0.111049,1.481500,1.935748,1.394365,-0.080128,0.471640,0.152229,-0.248871,-0.516421,-0.506848,-0.225290,0.177164,0.484548,0.531913,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.550000,-0.040825,0.078679,0.042924,slither,0.477030,0.177206,-0.197227,-0.456277,-0.458504,-0.204410,0.160814,0.458232,0.501391,-1.425968,-2.538269,-2.372735,-0.849854,0.899860,1.740263,1.983566,0.926231,-0.839236,0.381509,0.009101,-0.368191,-0.547903,-0.433599,-0.086616,0.306848,0.535649,0.477010,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.600000,-0.047385,0.093409,0.243729,slither,0.402764,0.060617,-0.300675,-0.496775,-0.416820,-0.109622,0.256072,0.494620,0.453314,-1.500595,-2.238276,-1.866379,-0.544701,0.979460,1.909401,1.785809,0.426641,-1.088625,0.306282,-0.087289,-0.434018,-0.547843,-0.367684,0.009783,0.382000,0.549227,0.421727,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.650000,-0.054683,0.102193,0.427816,slither,0.310562,-0.058308,-0.392808,-0.509782,-0.353115,-0.011396,0.340455,0.504752,0.382369,-2.204100,-2.572472,-1.744002,0.016401,1.461504,1.987736,1.527660,0.024416,-1.642398,0.176519,-0.225911,-0.507113,-0.516186,-0.248262,0.152884,0.471990,0.537815,0.315037,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.700000,-0.062702,0.105505,0.596610,slither,0.203653,-0.175742,-0.467051,-0.503686,-0.274038,0.092928,0.408233,0.492381,0.295665,-2.048686,-2.415842,-1.269630,0.355408,1.751285,2.088638,0.968943,-0.460353,-1.711258,0.082624,-0.310192,-0.536552,-0.474986,-0.158532,0.242993,0.514123,0.509363,0.231268,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
