time_s,head_x_m,head_y_m,head_yaw_rad,state,q_joint_01_rad,q_joint_02_rad,q_joint_03_rad,q_joint_04_rad,q_joint_05_rad,q_joint_06_rad,q_joint_07_rad,q_joint_08_rad,q_joint_09_rad,dq_joint_01_rad_s,dq_joint_02_rad_s,dq_joint_03_rad_s,dq_joint_04_rad_s,dq_joint_05_rad_s,dq_joint_06_rad_s,dq_joint_07_rad_s,dq_joint_08_rad_s,dq_joint_09_rad_s,cmd_joint_01_rad,cmd_joint_02_rad,cmd_joint_03_rad,cmd_joint_04_rad,cmd_joint_05_rad,cmd_joint_06_rad,cmd_joint_07_rad,cmd_joint_08_rad,cmd_joint_09_rad,range_head_range_m60_m,range_head_range_m30_m,range_head_range_00_m,range_head_range_p30_m,range_head_range_p60_m
0.002000,0.000000,0.000000,0.000000,slither,-0.000191,0.000391,0.000168,0.000249,0.000658,-0.000672,-0.000338,-0.000386,-0.000715,-0.095728,0.195309,0.083893,0.124736,0.328896,-0.336214,-0.168984,-0.193054,-0.357342,0.000000,0.068000,0.068000,0.068000,0.068000,-0.068000,-0.068000,-0.068000,-0.068000,-0.800000,-0.800000,0.632000,-0.800000,-0.800000
0.050000,-0.000478,-0.007876,-0.063224,slither,0.000301,0.039121,0.038796,0.050234,0.016710,-0.055503,-0.043557,-0.043696,-0.031200,0.743843,1.643290,1.625364,2.092625,-0.567471,-1.774761,-1.498540,-1.705848,-0.040874,0.093248,0.204000,0.204000,0.204000,-0.021218,-0.204000,-0.204000,-0.204000,-0.060536,-0.800000,-0.800000,0.647468,-0.800000,-0.800000
0.100000,-0.008747,-0.029002,-0.288215,slither,0.065382,0.155719,0.157233,0.164501,-0.036977,-0.163810,-0.149459,-0.162512,0.000529,1.393032,2.560958,2.620622,1.671619,-1.194325,-2.145427,-2.254311,-2.498304,0.939673,0.177274,0.340000,0.340000,0.272442,-0.124312,-0.340000,-0.340000,-0.340000,0.030987,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.150000,-0.026940,-0.043819,-0.519431,slither,0.152853,0.306664,0.305058,0.177139,-0.108090,-0.280035,-0.276772,-0.200150,0.079747,2.081884,3.076123,1.894633,-0.626016,-1.292206,-2.090980,-2.259295,0.180874,1.630890,0.287019,0.509557,0.443135,0.124322,-0.274875,-0.539313,-0.526163,-0.241557,0.162704,-0.800000,-0.800000,-0.800000,0.669733,-0.800000
0.200000,-0.041442,-0.039194,-0.631808,slither,0.247855,0.415904,0.359529,0.125917,-0.189711,-0.377610,-0.351296,-0.159182,0.174137,1.575524,1.307202,0.185991,-1.400583,-1.702486,-1.366479,-0.636441,0.829056,1.772902,0.353804,0.514338,0.379854,0.023654,-0.361986,-0.568988,-0.485139,-0.154299,0.247128,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.250000,-0.046084,-0.025310,-0.651048,slither,0.341765,0.468680,0.346566,0.045599,-0.275013,-0.430104,-0.349422,-0.086799,0.270711,1.771193,0.623768,-0.789977,-1.786879,-1.612153,-0.546366,0.722896,1.615537,1.887605,0.439681,0.498180,0.269634,-0.122139,-0.465731,-0.575588,-0.391583,-0.011282,0.362411,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.300000,-0.046551,-0.009649,-0.622677,slither,0.422975,0.485832,0.295513,-0.041718,-0.349444,-0.453505,-0.307490,0.008306,0.358064,1.347780,0.171233,-1.185356,-1.820788,-1.406977,-0.326661,1.016013,1.797983,1.574386,0.481588,0.469288,0.186391,-0.214176,-0.516342,-0.556838,-0.312816,0.085896,0.426459,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.350000,-0.045119,0.008568,-0.546860,slither,0.485317,0.475230,0.217582,-0.139837,-0.415119,-0.452570,-0.239065,0.109422,0.430305,1.035150,-0.631826,-1.848039,-2.003803,-1.359561,0.129164,1.677335,2.386561,1.378685,0.517093,0.399945,0.052303,-0.338333,-0.561394,-0.496234,-0.176873,0.226259,0.497778,-0.800000,-0.800000,-0.800000,0.680110,-0.800000
0.400000,-0.043488,0.029408,-0.418788,slither,0.520827,0.429647,0.119811,-0.239441,-0.464664,-0.426851,-0.154089,0.210368,0.482127,0.545138,-0.953410,-1.861410,-1.968388,-0.807420,0.656452,1.819562,1.971753,0.757881,0.522551,0.339487,-0.038248,-0.407209,-0.568658,-0.435213,-0.077739,0.312680,0.527281,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
0.450000,-0.043527,0.050077,-0.263243,slither,0.530232,0.360261,0.012308,-0.332514,-0.494152,-0.378556,-0.057943,0.307291,0.512680,-0.056797,-1.672704,-2.408284,-1.870545,-0.257775,1.246870,1.962046,1.827489,0.406381,0.501251,0.230462,-0.170394,-0.485828,-0.546190,-0.318706,0.074931,0.423868,0.541240,-0.800000,-0.800000,-0.800000,-0.800000,-0.800000
